Row ID;Order Date;Ship Date;Country;State;Product ID;Category;Product Name;Sales;Quantity;Discount;Profit
1;8/11/2016;11/11/2016;United States;Kentucky;FUR-BO-10001798;Furniture;Bush Somerset Collection Bookcase;261,96;2;0;41,9136
2;8/11/2016;11/11/2016;United States;Kentucky;FUR-CH-10000454;Furniture;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731,94;3;0;219,582
3;12/6/2016;16/6/2016;United States;California;OFF-LA-10000240;Office Supplies;Self-Adhesive Address Labels for Typewriters by Universal;14,62;2;0;6,8714
4;11/10/2015;18/10/2015;United States;Florida;FUR-TA-10000577;Furniture;Bretford CR4500 Series Slim Rectangular Table;957,5775;5;0,45;-383,031
5;11/10/2015;18/10/2015;United States;Florida;OFF-ST-10000760;Office Supplies;Eldon Fold 'N Roll Cart System;22,368;2;0,2;2,5164
6;9/6/2014;14/6/2014;United States;California;FUR-FU-10001487;Furniture;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48,86;7;0;14,1694
7;9/6/2014;14/6/2014;United States;California;OFF-AR-10002833;Office Supplies;Newell 322;7,28;4;0;1,9656
8;9/6/2014;14/6/2014;United States;California;TEC-PH-10002275;Technology;Mitel 5320 IP Phone VoIP phone;907,152;6;0,2;90,7152
9;9/6/2014;14/6/2014;United States;California;OFF-BI-10003910;Office Supplies;DXL Angle-View Binders with Locking Rings by Samsill;18,504;3;0,2;5,7825
10;9/6/2014;14/6/2014;United States;California;OFF-AP-10002892;Office Supplies;Belkin F5C206VTEL 6 Outlet Surge;114,9;5;0;34,47
11;9/6/2014;14/6/2014;United States;California;FUR-TA-10001539;Furniture;Chromcraft Rectangular Conference Tables;1706,184;9;0,2;85,3092
12;9/6/2014;14/6/2014;United States;California;TEC-PH-10002033;Technology;Konftel 250 Conference phone - Charcoal black;911,424;4;0,2;68,3568
13;15/4/2017;20/4/2017;United States;North Carolina;OFF-PA-10002365;Office Supplies;Xerox 1967;15,552;3;0,2;5,4432
14;5/12/2016;10/12/2016;United States;Washington;OFF-BI-10003656;Office Supplies;Fellowes PB200 Plastic Comb Binding Machine;407,976;3;0,2;132,5922
15;22/11/2015;26/11/2015;United States;Texas;OFF-AP-10002311;Office Supplies;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68,81;5;0,8;-123,858
16;22/11/2015;26/11/2015;United States;Texas;OFF-BI-10000756;Office Supplies;Storex DuraTech Recycled Plastic Frosted Binders;2,544;3;0,8;-3,816
17;11/11/2014;18/11/2014;United States;Wisconsin;OFF-ST-10004186;Office Supplies;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665,88;6;0;13,3176
18;13/5/2014;15/5/2014;United States;Utah;OFF-ST-10000107;Office Supplies;Fellowes Super Stor/Drawer;55,5;2;0;9,99
19;27/8/2014;1/9/2014;United States;California;OFF-AR-10003056;Office Supplies;Newell 341;8,56;2;0;2,4824
20;27/8/2014;1/9/2014;United States;California;TEC-PH-10001949;Technology;Cisco SPA 501G IP Phone;213,48;3;0,2;16,011
21;27/8/2014;1/9/2014;United States;California;OFF-BI-10002215;Office Supplies;"Wilson Jones Hanging View Binder, White, 1""";22,72;4;0,2;7,384
22;9/12/2016;13/12/2016;United States;Nebraska;OFF-AR-10000246;Office Supplies;Newell 318;19,46;7;0;5,0596
23;9/12/2016;13/12/2016;United States;Nebraska;OFF-AP-10001492;Office Supplies;Acco Six-Outlet Power Strip, 4' Cord Length;60,34;7;0;15,6884
24;16/7/2017;18/7/2017;United States;Pennsylvania;FUR-CH-10002774;Furniture;Global Deluxe Stacking Chair, Gray;71,372;2;0,3;-1,0196
25;25/9/2015;30/9/2015;United States;Utah;FUR-TA-10000577;Furniture;Bretford CR4500 Series Slim Rectangular Table;1044,63;3;0;240,2649
26;16/1/2016;20/1/2016;United States;California;OFF-BI-10001634;Office Supplies;Wilson Jones Active Use Binders;11,648;2;0,2;4,2224
27;16/1/2016;20/1/2016;United States;California;TEC-AC-10003027;Technology;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90,57;3;0;11,7741
28;17/9/2015;21/9/2015;United States;Pennsylvania;FUR-BO-10004834;Furniture;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083,43;7;0,5;-1665,0522
29;17/9/2015;21/9/2015;United States;Pennsylvania;OFF-BI-10000474;Office Supplies;Avery Recycled Flexi-View Covers for Binding Systems;9,618;2;0,7;-7,0532
30;17/9/2015;21/9/2015;United States;Pennsylvania;FUR-FU-10004848;Furniture;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124,2;3;0,2;15,525
31;17/9/2015;21/9/2015;United States;Pennsylvania;OFF-EN-10001509;Office Supplies;Poly String Tie Envelopes;3,264;2;0,2;1,1016
32;17/9/2015;21/9/2015;United States;Pennsylvania;OFF-AR-10004042;Office Supplies;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86,304;6;0,2;9,7092
33;17/9/2015;21/9/2015;United States;Pennsylvania;OFF-BI-10001525;Office Supplies;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6,858;6;0,7;-5,715
34;17/9/2015;21/9/2015;United States;Pennsylvania;OFF-AR-10001683;Office Supplies;Lumber Crayons;15,76;2;0,2;3,546
35;19/10/2017;23/10/2017;United States;Texas;OFF-PA-10000249;Office Supplies;Easy-staple paper;29,472;3;0,2;9,9468
36;8/12/2016;10/12/2016;United States;Texas;TEC-PH-10004977;Technology;GE 30524EE4;1097,544;7;0,2;123,4737
37;8/12/2016;10/12/2016;United States;Texas;FUR-FU-10003664;Furniture;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190,92;5;0,6;-147,963
38;27/12/2015;31/12/2015;United States;Texas;OFF-EN-10002986;Office Supplies;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113,328;9;0,2;35,415
39;27/12/2015;31/12/2015;United States;Texas;FUR-BO-10002545;Furniture;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532,3992;3;0,32;-46,9764
40;27/12/2015;31/12/2015;United States;Texas;FUR-CH-10004218;Furniture;Global Fabric Manager's Chair, Dark Gray;212,058;3;0,3;-15,147
41;27/12/2015;31/12/2015;United States;Texas;TEC-PH-10000486;Technology;Plantronics HL10 Handset Lifter;371,168;4;0,2;41,7564
42;10/9/2017;15/9/2017;United States;Illinois;TEC-PH-10004093;Technology;Panasonic Kx-TS550;147,168;4;0,2;16,5564
43;17/7/2016;22/7/2016;United States;California;OFF-ST-10003479;Office Supplies;Eldon Base for stackable storage shelf, platinum;77,88;2;0;3,894
44;19/9/2017;23/9/2017;United States;Florida;OFF-ST-10003282;Office Supplies;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95,616;2;0,2;9,5616
45;11/3/2016;13/3/2016;United States;Minnesota;TEC-AC-10000171;Technology;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45,98;2;0;19,7714
46;11/3/2016;13/3/2016;United States;Minnesota;OFF-BI-10003291;Office Supplies;Wilson Jones Leather-Like Binders with DublLock Round Rings;17,46;2;0;8,2062
